album_id,title,release_date,album_type
AL000082,Roccia Music,2017-06-30,album
AL000083,Cani Da Sfida,2017-06-30,album
AL000084,Festival di Sanremo 2018,2017-12-08,single
AL000085,Michel,2017-05-24,album
AL000086,Miguel,2020-11-06,album
"AL000087,""Doner Bomber Compilation, Vol. 3"",2015-04-08,compilation"
AL000088,M,2014-03-05,single
AL000089,Beats From The Lido,2018-08-17,compilation
AL000090,What U Do To Me EP,2016-12-09,single
AL000091,SENTIMENTAL SEASON EP,2021-12-03,single
AL000092,20 (Deluxe Edition),2018-04-20,album
AL000093,PLAZA (Deluxe Edition),2021-01-22,album
AL000094,Ferite (Deluxe Edition),2024-05-03,album
AL000095,Hustle Mixtape,2022-06-03,album
AL000096,Sulamente Nuje,2016-06-10,album
AL000097,Scialla Semper (Emodrill Repack),2019-04-12,album
AL000098,SOLO TUTTO,2021-03-26,album
AL000099,Le cose cambiano (Deluxe),2023-12-01,album
AL000100,Jolly Mixtape,2022-05-20,single
AL000101,Allindennoman / alter ego,2021-10-15,album
AL000102,Benjamin,2019-06-03,album
AL000103,ALICE EP,2021-04-09,album
AL000104,Galassie,2024-01-12,album
AL000105,NEI LETTI DEGLI ALTRI,2024-02-07,single
AL000106,Gioventù Bruciata,2019-02-22,album
AL000107,Rarities LP,2019-08-30,single
AL000108,Festival di Sanremo 2022,2022-02-02,single
AL000109,Ghettolimpo,2021-06-10,album
AL000110,Festival di Sanremo 2016,2016-01-22,single
AL000111,La Sirenetta (2023 Colonna Sonora Originale),2023-05-19,album
AL000112,Note di Viaggio - Capitolo 2: Non Vi Succederà Niente,2020-10-09,compilation
AL000113,Nemici,2017-10-06,single
AL000114,Comunque Vada Sarà Un Successo,1999-01-01,album
AL000115,Suburra (final season) [Original soundtrack],2020-10-30,album
AL000116,La grande onda,2002-06-20,album
AL000117,Odio Gli Indifferenti,2012-04-10,album
AL000118,Multi Culti,2007-01-26,album
AL000119,Interno 7,2018-09-28,album
AL000120,Democrazia del microfono,2000-01-01,album
AL000121,La Forza Che Scorre EP,2016-12-02,single
AL000122,7 Vizi Capitale - EP,2017-10-06,single
AL000123,’na notte infame,2024-03-01,album
AL000124,...Senza Er (Live),2012-04-10,album
AL000125,Tommaso,2004-01-01,album
AL000126,La Valigia (Remix),1998-01-01,single
AL000127,Avere 20 anni - EP,2018-06-08,single
AL000128,Non mi uccidere (Original Motion Picture Soundtrack),2021-04-16,single
AL000129,Vulcano ,2017-03-24,album
AL000130,Tarantelle,2019-05-03,album
AL000131,Miracolo! (Deluxe Edition),2015-04-28,album
AL000132,Miracolo! (Ultimo Round),2016-02-19,album
AL000133,Mea Culpa (Gold Edition),2014-01-01,album
AL000134,I.E.N.A.,2011-12-19,album
AL000135,Black Pulcinella,2022-04-29,album
AL000136,Napoli Manicomio,2006-08-09,album
AL000137,Iene Disumane EP,2019-11-20,album
AL000138,Real Talk Extra,2020-06-12,single
AL000139,Bengala,2006-08-09,album
AL000140,Vile Denaro - 10th Anniversary,2007-01-01,album
AL000141,Club Dogo,2024-01-12,album
AL000142,Mi Fist ,2003-01-03,album
AL000143,Che Bello Essere Noi,2010-01-01,album
AL000144,Non Siamo Più Quelli Di Mi Fist The Complete Edition,2014-01-01,album
AL000145,Dogocrazia,2009-01-01,album
AL000146,Noi siamo il Club (Reloaded Edition),2012-01-01,album
AL000147,Penna Capitale,2006-03-15,album
AL000148,Noi Siamo Il Club,2012-01-01,album
AL000149,Vile Denaro,2007-05-17,album
AL000150,Noi siamo il Club (Deluxe Edition),2012-01-01,album
AL000151,(Il cd del-)La Pina,1995-01-01,album
AL000152,Piovono angeli,1998-01-01,album
AL000153,Torino Boys - Colonna Sonora Originale Del Film dei Manetti Bros.,1998-01-01,album
AL000154,Cora,2000-01-01,album
AL000155,10 + 10,2008-09-09,album
AL000156,Il tempo vola 2002-2020,2017-04-07,album
AL000157,Mr. Simpatia,2004-09-01,album
AL000158,Caos,2022-03-18,album
AL000159,Rima Dopo Rima,2004-09-01,album
AL000160,Tradimento,2006-12-01,album
AL000161,Turbe Giovanili,2002-01-01,album
AL000162,Squallor,2015-04-07,album
AL000163,Guerra E Pace,2013-01-01,album
AL000164,Fenomeno (Masterchef) - EP,2017-11-13,single
AL000165,Fenomeno,2017-04-07,album
AL000166,Bugiardo² (New Version),2007-01-01,album
AL000167,Controcultura,2010-01-01,album
AL000168,Bugiardo,2024-02-23,single
AL000169,Pensieri Scomodi,2006-12-01,album
AL000170,Tradimento 10 Anni - Reloaded,2004-09-01,album
AL000171,Mentre Los Angeles Brucia,2025-05-23,single
AL000172,Quorum,2007-01-01,album
AL000173,Chi Vuole Essere Fabri Fibra?,2009-04-10,album
AL000174,Tranne te (Rap Futuristico) - EP,2024-10-25,compilation
AL000175,Casus Belli - EP,2013-02-05,album
AL000176,Turbe Giovanili (Remaster 2010),2002-01-01,album
AL000177,Venerdì 17,2010-01-01,album
AL000178,Crash Test Vol. 1,2008-06-16,single
AL000179,L’Italiano Balla,2012-07-01,single
AL000180,Dirham Records Street Tape Vol. 1,2022-03-18,album
AL000181,Street Flava 3rd Avenue,2010-01-01,album
AL000182,Libertà,2019-08-30,album
AL000183,SignorHunt: Wake Up Edition,2015-10-23,album
AL000184,SPIRAGLIO DI PERIFERIA (RELOADED),2011-12-17,single
AL000185,Poeta Urbano,2013-06-25,album
AL000186,Rivoluzione,2021-11-05,album
AL000187,’A Verità 2.0,2014-03-24,album
AL000188,​​bellodrama,2023-03-24,album
AL000189,RAGAZZO DI GIÙ,2025-04-25,album
AL000190,A’ music è speranz,2015-10-23,album
AL000191,Un beso de improviso - Sencillo,2021-06-18,single
AL000192,One Take FM Free Mic - Season 3,2025-01-17,single
AL000193,Parole,2004-01-01,album
AL000194,M-Theory,2014-04-22,album
AL000195,Realtà Aumentata,2016-11-04,album
AL000196,Anni senza fine,2008-07-29,album
AL000197,La scatola nera,2012-02-22,album
AL000198,L’universo non esiste,2019-04-12,album
AL000199,Dentro La Mia Mente,2022-12-02,album
AL000200,Colpi In Aria ,2005-05-23,album
AL000201,Kill Phil Vol.1 ,2022-02-14,album
AL000202,Da Bomb 2002,2022-11-03,album
AL000203,The NewKingzTape Vol. 1,2005-10-19,album
AL000204,NUOVO MEDIOEGO,2021-01-15,album
AL000205,Fabiano Detto Inoki,2017-11-17,album
AL000206,Basso Profilo - The Mixtape MMXVI,2025-05-16,album
AL000207,Nobiltà di Strada,2007-02-16,album
AL000208,4 MANI,2022-11-25,album
AL000209,5° Dan,2025-05-16,album
AL000210,Flusso di Coscienza,2017-11-30,album
AL000211,L’Antidoto,2014-02-05,album
AL000212,Demolizione,2025-04-10,album
AL000213,The Jazzness,2025-05-16,album
AL000214,CONTINUO - EP,2025-01-10,album
AL000215,Rap Game,2019-11-28,single
AL000216,Rap Game: Aggressiva,2019-11-28,single
AL000217,Rap Game: Reality,2019-11-28,single
AL000218,17 (Dark Edition),2020-09-18,album
AL000219,Fuori Da Qui,2016-04-22,album
AL000220,Musica Commerciale Deluxe Edition,2013-01-01,album
AL000221,Ferro del mestiere,2022-06-17,album
AL000222,FAME,2025-01-31,album
AL000223,Oh My Doll EP,2017-10-19,single
AL000224,Struggle,2016-01-29,album
AL000225,Amore Odio EP,2022-10-28,single
AL000226,Nena - Single,2020-09-10,single
AL000227,Memory,2018-05-18,album
AL000228,GARA 7,2023-06-16,album
AL000229,Fantastica Illusione,2014-03-18,album
AL000230,Orgoglio,2012-09-28,album
AL000231,Sentire Non È Ascoltare,2023-06-16,album
AL000232,Radiografia - EP,2015-03-24,album
AL000233,RADIO SAKURA,2024-03-08,album
AL000234,Radio Gotham,2023-01-20,album
AL000235,radio vega,2025-02-12,single
AL000236,GIOVANE RONDO - EP,2020-10-16,album
AL000237,TRENCHES BABY,2022-04-29,single
AL000238,Plugged In: S4 ,2002-01-01,album
AL000239,BLUE TAPE,2024-04-05,album
AL000240,Rockstar (Popstar Edition),2018-01-19,album
AL000241,Rockstar,2018-01-19,album
AL000242,Sfera Ebbasta,2016-09-09,album
AL000243,Famoso,2021-02-12,album
AL000244,SANTANA MONEY GANG,2025-04-10,album
AL000245,X2VR,2023-11-17,album
AL000246,XDVR Reloaded,2015-11-23,album
AL000247,Rockstar (International Version),2018-12-07,album
AL000248,Emergenza Mixtape Vol. 1,2023-05-26,single
AL000249,Emergenza Mixtape Vol. 2,2025-04-10,album
AL000250,Mezzanotte,2017-09-22,album
AL000251,ORCHIdee,2014-05-27,album
AL000252,Festival di Sanremo 2019,2019-02-06,single
AL000253,Qualcosa è cambiato (Qualcosa Cambierà Vol.2),2012-12-25,album
AL000254,Aspetta Un Minuto Mixtape,2022-12-16,album
AL000255,La rivincita dei buoni,2007-09-15,album
AL000256,Scritto nelle stelle,2020-04-24,album
AL000257,Ghemon & The Can’t Fuck With This,2024-06-17,album
AL000258,E Vissero Feriti E Contenti,2021-03-19,album
AL000259,Embrionale - EP,2019-10-31,album
AL000260,Una cosetta così,2025-01-10,album
AL000261,Ufficio Immaginazione - EP,2025-03-28,album
AL000262,Qualcosa Cambierà Mixtape,2025-05-01,single
AL000263,Bella Lucio!,2015-09-25,compilation
AL000264,Best Seller Compilation Vol. 1 & 2,2008-01-08,compilation
AL000265,Domani smetto,2002-03-22,album
AL000266,PROTOMARANZA,2024-05-10,album
AL000267,Messa di Vespiri,1997-02-25,album
AL000268,Greatest Hits,1993-02-25,album
AL000269,La Riconquista del Forum,2002-03-22,album
AL000270,Così com’è,2002-03-22,album
AL000271,Nessuno,1998-05-07,album
AL000272,Un’ora con...,1993-02-25,album
AL000273,Strade di Città,1993-02-25,album
AL000274,XChé Si!,1999-12-20,album
AL000275,Funkytarro – Single,2000-10-26,album
AL000276,Italiano medio,2003-11-04,album
AL000277,2030 – Single,1996-01-01,single
AL000278,È Natale (Ma io non ci sto dentro),1993-12-25,single
AL000279,Così e cosà – Single,1997-01-01,single
AL000280,Aspettando il Sole,1996-01-01,album
AL000281,Neffa & i Messaggeri della Dopa,1996-01-01,album
AL000282,Chicopisco - EP,1999-01-01,single
AL000283,107 elementi,1998-01-01,album
AL000284,Alla Fine Della Notte,2007-06-01,album
AL000285,AmarAmmore,2021-02-12,single
AL000286,Sognando contromano,2009-06-01,album
AL000287,Molto Calmo,2013-12-11,album
AL000288,Canerandagio - Parte 1,2025-04-18,album
"AL000289,""I molteplici mondi di Giovanni, Il cantante Neffa"",2003-01-01,album"
AL000290,Resistenza Edizione Speciale,2015-01-01,album
AL000291,Arrivi e partenze,2001-01-01,album
AL000292,50 eMCee’s,2013-01-01,album
AL000293,The Twelve Step Program,1998-01-01,album
AL000294,Dolce Intro,1996-01-01,album
AL000295,La Morte Dei Miracoli,,
AL000296,Verba Manent,,
AL000297,Essere Umani,,
AL000298,Ero un autarchico,,
AL000299,DePrimoMaggio,,
AL000300,The World According to RZA,,
AL000301,Rap©ital,,
AL000302,Zora la vampira,,
"AL000303,""Capo Verde terra d’amore Vol. 9 (Canzoni di Cesaria Evora, Teofilo Chantre e Mario Lucio in italiano)"",,"
AL000304,Mowgli,2018-03-02,album
AL000305,Orange County Mixtape,2017-01-13,album
AL000306,Vita vera mixtape: Aspettando la Divina Commedia,2020-06-05,album
AL000307,Orange County California,2017-01-13,album
AL000308,La Divina Commedia - Paradiso,2023-06-02,album
AL000309,Aspettando Orange County Mixtape,2025-04-10,album
AL000310,Don’t Panic,2021-05-05,album
AL000311,Prisoner 709,2017-09-15,album
AL000312,Exuvia,2021-05-06,album
AL000313,Museica,2014-01-01,album
AL000314,Verità Supposte,2003-01-01,album
AL000315,Epocalisse: Capalogia Da ?! Al Caos,2008-01-01,album
AL000316,Habemus Capa,2006-01-01,album
AL000317,Il Sogno Eretico,2011-01-01,album
AL000318,Le Dimensioni Del Mio Caos,2008-01-01,album
AL000319,?! (Caparezza ?!),2000-01-01,album
AL000320,Zappa,2000-01-01,album
AL000321,Viva l’Italia (Soundtrack),2003-01-01,album
AL000322,Ricomincio da Capa,2000-01-01,album
AL000323,Con Caparezza... Nella monnezza,1998-01-01,album
AL000324,Vengo Dalla Luna,2004-01-01,single
AL000325,Bruno Lauzi & Il Club Tenco,2008-01-01,album
AL000326,Caparezza Essential,2008-01-01,album
AL000327,Fuori Dal Tunnel & Il meglio Di Caparezza in versione RMX,2003-01-01,album
AL000328,Seguendo Virgilio - dentro e fuori il quartetto Cetra,2016-06-24,album
AL000329,Tribe,2023-10-27,single
AL000330,1969-2009 Omaggio a Woodstock,2025-06-12,compilation
AL000331,ICON,2024-09-23,single
AL000332,Untouchable,2025-06-13,single
AL000333,Foto di gruppo,1998-08-01,album
AL000334,Seven: The Street Prequel,2019-09-27,compilation
AL000335,Classe 73,2003-01-01,album
AL000336,Thank Bax It’s Friday,2017-10-06,single
AL000337,Mia Maestà,2017-03-31,album
AL000338,Background ,2019-09-27,compilation
AL000339,Guarda In Cielo,2013-11-01,album
AL000340,Musica che non si tocca,2010-11-01,album
AL000341,L’Ultimo Testimone,2004-01-01,album
AL000342,Tutti a casa,2011-11-01,album
AL000343,Contro Gli Estimatori,1996-08-01,album
AL000344,Sushi EP,2007-11-13,single
AL000345,Stanno tutti bene ,2012-02-14,album
AL000346,Rapper Italiano,2001-01-01,album
AL000347,Hate,2005-09-01,album
AL000348,La Lettera B,2019-10-25,compilation
AL000349,Furia Solista ,2012-05-22,album
AL000350,V.E.L.M. (Vivi E Lascia Morire),2019-10-25,compilation
AL000351,Classico,2000-01-01,album
AL000352,The Remedy Tape Vol. 1,2019-09-27,compilation
"AL000353,""Street Collection, Vol.1"",2019-09-27,compilation"
"AL000354,""Street Collection, Vol.2"",2004-01-01,album"
AL000355,Rocdiniak,2017-09-01,album
AL000356,50 eMCee’s II,1998-08-01,album
AL000357,Monkee Bizniz Vol. 1,2012-02-14,album
AL000358,Vivo E Vero Ep,2010-05-04,album
AL000359,Bastian Contrario,2017-09-01,album
AL000360,Monkee Bizniz Vol. 2,2002-01-01,album
AL000361,Monkee Bizniz Vol. 3,2017-10-06,single
AL000362,Album,2017-05-26,album
AL000363,Lunga Vita a Sto,2017-11-24,album
AL000364,DNA Deluxe X,2020-11-13,album
AL000365,Sensazione ultra,2021-10-29,single
AL000366,Festival di Sanremo 2024,2024-02-07,single
AL000367,PIZZA KEBAB Vol. 1,2023-12-01,album
AL000368,Leader Mixtape,2024-05-10,single
AL000369,V,2017-09-01,album
AL000370,CLASH AGAIN,2019-10-18,album
AL000371,OGGI - EP,2020-09-17,single
AL000372,Rock Steady,2014-09-02,album
AL000373,HIT-TAPE,2022-04-07,single
AL000374,Era Tutto Un Sogno,2012-11-13,album
AL000375,DOMANI - EP,2021-10-24,single
AL000376,Equilibrio - EP,2025-01-17,single
AL000377,One By One - EP,2025-05-30,single
AL000378,Vendetta,2008-09-22,album
AL000379,Freestyle Roulette Mixtape,2014-01-01,album
AL000380,Donercore - EP,2017-09-01,album
AL000381,Beatbox Selection Vol. 1,2025-05-02,single
AL000382,Turno Notturno - EP,2016-09-26,single
AL000383,MADAME,2021-06-03,album
AL000384,New Challengers,2018-09-13,single
AL000385,L’AMORE,2023-02-09,single
AL000386,La primavera della mia vita (Original Motion Picture Soundtrack),2023-02-20,compilation
AL000387,Poco di buono 2,2017-01-26,album
AL000388,DON ,2018-01-19,album
AL000389,Poco di Buono,2008-03-31,album
AL000390,Don Vacca Corleone,2019-01-11,album
AL000391,Faccio quello che voglio,2007-01-01,album
AL000392,54:17,2017-04-24,album
AL000393,Bad Reputation,2020-04-10,album
AL000394,Del Padre Del Figlio,2014-09-23,album
AL000395,20139 EP,2019-08-23,album
AL000396,Pazienza,2013-03-19,album
AL000397,L’ultimo tango,2015-09-01,album
AL000398,Barroso,2022-09-23,album
AL000399,VH,2004-03-11,album
AL000400,Tempo Nostro EP,2021-07-30,single
AL000401,indipendentemente preso bene EP,2023-06-09,single
AL000402,Pelleossa,2011-05-24,album
AL000403,Sporco,2010-05-18,album
AL000404,GRAVEYARD DUPPIES,2024-05-10,album
AL000405,21 Motivi ,2015-11-23,album
AL000406,Get Maad,2012-01-31,album
AL000407,ALI - ULTIMA NOTTE,2021-02-19,album
AL000408,Cracovia Vol. 2,2024-01-12,compilation
AL000409,INVISIBILI,2023-08-25,single
AL000410,Cracovia,2021-02-19,album
AL000411,Real Talk EP,2019-07-30,single
AL000412,One Take FM Free Mic - Season 5,2016-12-20,album
AL000413,Cataclisma Mixtape,2025-03-28,album
AL000414,UNA VITA IN CAPSLOCK,2025-04-10,album
AL000415,L’ANGELO DALL’OCCHIALE DA SERA,2019-03-29,album
AL000416,PAPRIKA,2016-10-25,album
AL000417,L’ANGELO DALL’OCCHIALE DA SERA: COL CUORE IN GOLA,2016-10-25,album
AL000418,CARPACCIO GHIACCIATO - EP,2016-10-25,album
AL000419,CLUB TOPPERIA,2016-10-25,album
AL000420,IL CIELO NON È UN LIMITE - EP,2016-10-25,album
AL000421,. (PUNTO),2016-10-25,album
AL000422,IL CIELO NON È UN LIMITE - LATO B - EP,2016-10-25,album
AL000423,XANANAS 80 (feat. Populous & RIVA) - Single,2024-03-08,album
AL000424,Potere (Il Giorno Dopo),2018-06-29,album
AL000425,Malammore,2016-07-15,album
AL000426,Il mio lato peggiore,2025-05-16,album
AL000427,L1,2012-06-19,album
AL000428,Dove Volano Le Aquile Vol. 2,2022-04-01,album
AL000429,L2,2014-07-01,album
AL000430,Poesia Cruda Mixtape Vol. 1,2012-06-19,album
AL000431,Icona ,2018-11-16,album
AL000432,Kiss Kiss Bang Bang ,2015-09-11,album
AL000433,Una Seria,2013-03-12,album
AL000434,Donna sulla Luna,2020-06-25,single
AL000435,Zeta. Una Storia Hip Hop (Colonna sonora),2021-06-25,album
AL000436,Lezioni di Volo,2019-11-05,album
AL000437,Femmina Alfa,2011-10-05,single
AL000438,S.O.S. EP,1962-04-10,album
AL000439,Variazioni,2017-03-31,album
AL000440,Ciao America,2024-02-07,single
AL000441,Nostalgia istantanea,2012-06-12,album
AL000442,CD’,2011-04-01,album
AL000443,D’iO ,2015-02-03,album
AL000444,NEI SOGNI NESSUNO È MONOGAMO,2022-02-02,single
AL000445,Di vizi di forma virtù,2008-06-13,album
AL000446,Vivere aiuta a non morire,2013-01-01,album
AL000447,Bir Tawil,2020-12-04,album
AL000448,Musica Senza Musicisti,2006-04-26,album
AL000449,L’ottavia,2014-02-12,album
AL000450,Dargen & D’Amici,2022-03-03,album
AL000451,Basura Muzik Vol. 1,2015-10-30,compilation
AL000452,Rattopsy EP,2014-07-01,album
AL000453,Cassette Pirata,2006-01-01,album
AL000454,DIO LO SA - ATTO II,2024-06-07,album
AL000455,IL CORAGGIO DEI BAMBINI - ATTO II,2023-04-07,album
AL000456,Emanuele (Marchio registrato),2019-10-10,album
AL000457,Truman (Sanremo Edition),2018-11-16,album
AL000458,Clownstrofobia,2016-01-15,album
AL000459,Mirabilansia ,2015-04-22,album
AL000460,Diversamente Triste,2023-07-07,album
AL000461,Supereroe (Bat Edition),2018-10-12,album
AL000462,Terza Stagione,2016-10-14,album
AL000463,L’erba cattiva (Gold Edition),2012-02-07,album
"AL000464,""Keta Music, Vol. 3"",2021-07-23,album"
AL000465,Keta Music - Volume 2,2015-06-18,album
AL000466,Effetto notte (L’alba),2023-05-19,album
AL000467,Mercurio - 5 Stars Edition,2014-06-10,album
AL000468,Champagne e spine,2010-01-01,album
AL000469,Effetto notte,2023-05-19,album
AL000470,Keta Music,2020-06-12,single
AL000471,Il peggiore,2011-12-19,album
AL000472,L’erba cattiva,2012-02-07,album
AL000473,Covid Freestyle EP,2020-06-12,single
"AL000474,""The Flow Clocker, Vol. 1"",2014-09-23,album"
AL000475,Mercurio,2014-10-14,album
AL000476,Pandamonium,2020-09-25,album
AL000477,Comunisti col Rolex Multiplatinum Edition,2017-07-11,album
AL000478,25 Ax - Il bello di essere J-Ax ,2015-12-04,album
AL000479,J-Ax & Friends (Deluxe),2015-12-04,album
AL000480,SurreAle,2018-09-14,single
AL000481,Il bello d’esser brutti Multiplatinum Edition,2015-12-04,album
AL000482,Di sana pianta,2006-10-13,album
AL000483,Meglio Prima (?),2011-08-30,album
AL000484,Il bello d’esser brutti,2015-12-04,album
AL000485,Rap n’ roll,2009-01-22,album
AL000486,Deca Dance,2009-06-11,album
AL000487,Meglio Live!,2012-05-08,album
AL000488,Pirati Urbani,2015-05-12,album
AL000489,Sindrome di Tôret,2017-10-06,album
AL000490,Educazione Sabauda,2016-01-08,album
AL000491,Iodegradabile,2019-10-25,album
AL000492,Sulla riva del fiume,2025-02-13,album
"AL000493,""Non è il mio genere, il genere umano"",2014-06-24,album"
AL000494,Appersonal - EP,2025-01-05,album
AL000495,Mai Dire Mai (La Locura) - Single,2020-11-12,single
AL000496,Pornostalgia,2022-05-05,album
AL000497,Faber Nostrum,2019-04-26,album
AL000498,Quattro San Simoni e un funerale EP,2019-07-12,album
AL000499,Manuale Del Giovane Nichilista,2016-04-15,album
AL000500,Rap & Melodies,1997-01-01,album
AL000501,Curre Curre Guagliò,1993-06-12,album
AL000502,Corto circuito,1998-01-01,album
AL000503,Curre curre guaglió 2.0: Non un passo indietro,2014-03-25,album
AL000504,Cattivi guagliuni,2011-11-03,album
AL000505,La vida que vendrà,2000-06-12,album
AL000506,Cerco tiempo,1997-06-12,album
AL000507,NA 99 10°,2012-06-12,compilation
AL000508,Soundboy,2011-09-20,album
AL000509,Purple Haze,2017-03-17,album
AL000510,Pompa il mio mixtape,2011-09-20,album
AL000511,Ganja Chanel,2014-06-17,album
AL000512,Pompa il mio disstape,2025-06-06,compilation
AL000513,Entics Television Vol. 3,2014-06-17,album
AL000514,Carpe diem,2016-09-09,album
AL000515,Ganja Chanel Vol. 2,2025-04-10,album
AL000516,Entics Television,2011-09-20,album
AL000517,Entics TV Vol. 2,2014-06-17,album
AL000518,Sangue,2024-02-07,single
AL000519,Next Big Thing,2022-04-15,album
AL000520,Gemelli (ascendente Milano),2020-06-18,album
AL000521,Come Uccidere Un Usignolo (67 Edition),2017-06-02,album
AL000522,No Hooks - EP,2016-09-21,single
AL000523,68 (Till The End),2019-04-05,album
AL000524,IO NON HO PAURA,2023-05-04,album
AL000525,New Generation Rap Boss Mixtape,2021-05-27,compilation
AL000526,Apple Music Home Session: Ernia,2016-02-05,album
AL000527,Il Mio Giorno Preferito,2024-11-26,album
AL000528,KETY REBORN,2019-09-20,single
AL000529,Thori & Rocce,2011-01-01,album
AL000530,MILANO SOPRANO,2021-07-09,album
AL000531,DON DADA,2023-04-13,album
AL000532,Ora O Mai Più,2015-05-05,album
AL000533,Regular,2015-05-05,album
AL000534,Nel Vortice Vol. 2,2019-03-15,single
AL000535,Ego,2019-04-05,album
AL000536,Nesliving Vol. 2 - Fragile,2009-11-13,album
AL000537,Vengo In Pace,2017-12-08,single
AL000538,Home,2004-09-01,album
AL000539,Andrà Tutto Bene,2015-02-12,album
AL000540,Voglio di + – Nesliving Vol. 3,2013-04-23,album
AL000541,Le Verità Nascoste,2007-01-01,album
AL000542,L’Amore è Qui,2010-01-01,album
AL000543,Fitte da Latte ,2019-05-16,album
AL000544,Nesliving Vol. IV - Il seme cattivo,2023-03-10,album
AL000545,Nesliving Vol.1 ,2009-05-20,album
AL000546,Kill Karma - La mente è un’arma,2017-02-10,album
AL000547,Street Flava 2nd Avenue,2025-04-10,album
AL000548,Neslibook Capitolo 1,2002-01-01,album
AL000549,Arte,2019-09-11,album
AL000550,Facendo Faccende,2023-05-25,album
AL000551,Caldo ,2020-07-02,album
AL000552,Lungolinea.,2017-11-24,album
AL000553,Banzai,2020-06-26,album
AL000554,2004 - EP,2016-10-21,single
AL000555,Undamento 01,2016-06-28,single
