album_id,title,release_date,album_type
ALB498603,Musica per bambini,2018-06-01,album
ALB160135,BODR,2022-02-11,album
ALB184968,May Day,2013-06-10,single
ALB117880,Shake It To The Max (FLY) (Remix),2025-02-21,single
ALB457852,X2VR,2023-11-17,album
ALB615920,Long Lost Archives of Lazzayaiii Pt. 1,2020-11-07,album
ALB376343,Shenandoah National Park – Nature Music,2025-06-18,compilation
ALB933854,Lazzaro EP,2023-06-29,single
ALB187993,Il meglio di un concerto,2013-03-13,album
ALB198509,Revolverlution,2002-07-23,album
ALB855152,Cinematic Atmosphere,2021-07-30,compilation
ALB922407,The Mediterranean Gardener,2021-08-27,album
ALB914796,OGGI,2020-10-23,single
ALB571211,Deja Vu,2025-01-27,album
ALB925187,Mozart: Le Nozze di Figaro,2015-09-01,album
ALB413105,Gemini,2022-06-24,single
ALB250110,Complesso Carlo Esposito,2023-01-28,single
ALB242093,Hybrid Theory (Bonus Edition),2000-10-24,album
ALB843924,NOSTALGIA (export),2024-02-23,album
ALB199743,Silenced by you,2021-11-08,single
ALB337570,Come Close to Me,2019-11-08,single
ALB148079,African,2019-02-20,single
ALB994339,Max,2017-05-19,album
ALB595091,GEMINI,2019-06-14,album
ALB917245,MAXTAPE,2021-05-12,album
ALB643226,Entertainer,2018-05-25,album
ALB670161,Numero zero ep,2014-11-28,single
ALB117310,Hyper,2017-03-16,single
ALB665684,BRAVA GENTE,2023-06-02,album
ALB416004,Hyper 2,2018-04-27,album
ALB179008,Hyp3r,2019-02-08,album
ALB815648,N Mixtape,2016-02-22,album
ALB662242,PENKILLER,2025-05-23,album
ALB536082,DM,2020-04-29,single
ALB874120,BLOCCO 181 – ORIGINAL SOUNDTRACK,2022-05-27,album
ALB765725,100K,2015-01-27,single
ALB956054,BDM Mixtape Vol. 1,2024-04-19,album
ALB859571,BRAVA GENTE - EXTRA,2024-06-14,album
ALB262899,Tarantelle,2019-05-03,album
ALB153714,DNA,2020-11-13,album
ALB202593,B.U.F.,2022-06-30,single
ALB516115,Qualcosa di nuovo,2020-10-30,album
ALB700407,Mustafà,2016-08-30,single
ALB756602,Las Vegas Freestyle,2025-04-18,single
ALB759739,HIT ME HARD AND SOFT,2024-05-17,album
ALB317374,Cabaret: First Complete Recording [Complete Recording of the Score (Original Studio Cast)],1999-02-09,album
ALB536928,SANTANA MONEY GANG,2025-04-10,album
ALB706499,Kepler,2014-05-27,album
ALB924017,Handel: Agrippina,2011-10-04,album
ALB129779,Freestyle Élite,2022-06-24,album
ALB239925,After,2025-04-11,single
ALB849110,Monteverdi: L'incoronazione di Poppea (Live),2019-08-30,album
ALB562390,MBAPPÉ,2025-03-14,single
ALB587829,Lotus,2025-06-06,album
ALB376590,"Pizza Con Piña, El Musical",2017-10-06,single
ALB398869,Raggasonico,2010-10-12,album
ALB120501,Come un uragano (2022 Remaster),2006-06-28,album
ALB778602,Lei,2019-08-09,single
ALB721312,Prima di Partire,2004-01-01,album
ALB914882,Soul Food,2018-08-17,album
ALB888033,Dinamite (2022 Remaster),2008-04-15,album
ALB647803,420 Mix,2011-04-20,compilation
ALB330958,Glielo Leggi In Faccia,2020-08-15,single
ALB183034,SANTANA MONEY GANG,2025-04-10,album
ALB504032,La nuova era,2012-06-19,album
ALB307226,Vibrazioni Positive,2015-09-25,album
ALB383800,Hurry Up Tomorrow,2025-01-31,album
ALB735374,MP5 Riddim,2014-04-29,compilation
ALB348943,"La gatta (feat. Vacca, Primo, Ntò, Amir, Bassi Maestro & Mondo Marcio) [Remix]",2012-06-19,single
ALB947110,DE PUTA MADRE 3,2024-10-11,single
ALB816729,È LA (LOVE),2024-05-17,single
ALB904226,TEKKEN (feat. Simba La Rue),2024-02-23,single
ALB764398,WAO,2023-04-21,single
ALB599066,YAMAMAY,2023-02-09,single
ALB210695,È (BANGER),2024-04-19,single
ALB719294,BLA,2023-07-14,single
ALB730346,È LA VIBE (VIBE),2024-07-05,single
ALB961055,COLPA MIA,2025-01-24,single
ALB551780,SPOILER 2 (feat. 22simba),2025-03-07,single
ALB922762,PSYDUCK,2025-05-02,single
ALB483828,WARANZA,2024-01-25,single
ALB757429,FASHION,2023-11-10,single
ALB796631,Bahoa,2022-02-16,single
ALB423975,Sem Boné (Remix),2022-05-05,single
ALB739216,Wawa,2022-06-17,single
ALB897041,Alaska,2022-10-07,single
ALB199888,Trust No One,2021-12-15,single
ALB432119,My Baby,2022-04-08,single
ALB727128,LA BELLAVITA,2025-03-28,album
ALB146392,Gentleman,2017-06-30,album
ALB584257,Mr. Fini,2020-11-26,album
ALB304633,Bravo Ragazzo (Royal Edition),2013-01-01,album
ALB203162,Fastlife 4,2021-04-08,album
ALB941990,Vero,2015-06-23,album
ALB855043,Madreperla,2023-01-13,album
ALB461219,Sinatra,2018-11-29,album
ALB845908,Il Ragazzo D'Oro,2011-01-01,album
ALB450575,GVESVS,2021-12-10,album
ALB665256,Vero +,2015-11-27,album
ALB601969,Gentleman (The Complete Playlist),2017-09-22,album
ALB952594,Tropico Del Capricorno,2025-01-10,album
ALB410620,Gelida Estate EP,2019-06-21,single
ALB517699,"Red Bull 64 Bars, The Album",2021-05-27,compilation
ALB370472,KG,2025-05-29,album
ALB859806,BLOCCO 181 – ORIGINAL SOUNDTRACK,2022-05-27,album
ALB277511,Santeria,2016-06-24,album
ALB295861,SARAGO (Red Bull 64 Bars),2024-09-13,single
ALB782841,Mattoni,2019-09-12,album
ALB384759,Lungomare Latino (feat. Willy William),2018-06-01,single
ALB393056,Come Se Fosse Normale,2018-04-06,single
ALB427868,Guersace (RMX) feat. Enzo Dong,2018-02-16,single
ALB172573,Kepler,2014-05-27,album
ALB102481,"Hashishinz Sound, Vol. 1",2014-11-24,single
ALB594281,Il Ragazzo D'Oro - 10 Anni Dopo,2021-03-25,album
ALB199337,Bravo Ragazzo Live,2014-01-01,album
ALB352318,Vero (Royal Edition),2015-11-27,album
ALB952125,La città del sole 2 (Il peggio di Cagliari),2012-12-01,album
ALB196546,"The Newkingztape, Vol. 1",2017-11-17,album
ALB940200,Lamborghini (German RMX) feat. Kurdo & Majoe,2017-12-15,single
ALB385130,Hashishinz Sound Vol.1,2008-02-11,single
ALB723430,THE BIGGEST SBLAO,2024-09-12,album
ALB322830,Dinamite (2022 Remaster),2008-04-15,album
ALB963419,Who's Next Hip Hop Underground 2014,2015-02-17,compilation
ALB799894,HELL NAHH,2025-06-05,single
ALB775951,Day Of The Dog,2006-03-04,album
ALB785534,Vasco Rossi,2017-12-15,single
ALB763314,En el Foco,2021-10-28,single
ALB170680,Dogo Gang Presenta: Benvenuti Nella Giungla,2008-03-28,compilation
ALB751770,Lamborghini (Swiss RMX) feat. Pronto,2018-02-23,single
ALB800065,Milano Spara,2007-11-02,album
ALB952567,"Solo lei ha quel che voglio 2021 (feat. Tiziano Ferro, Guè & Marracash)",2021-05-27,single
ALB383574,Urania Deluxe: Atto Finale,2021-10-29,album
ALB591476,DJUNGLE,2021-05-07,album
ALB553491,Dogocrazia,2009-01-01,album
ALB491001,Thori & Rocce,2011-01-01,album
ALB543557,Marracash,2008-01-01,album
ALB604285,L'ultimo disco (Parte 1),2022-10-21,album
ALB834199,Col Sangue,2016-09-23,album
ALB255449,In mezzo al traffico,2024-05-09,compilation
ALB507658,Hagakure,2008-08-18,compilation
ALB370694,"Rap Roba Fresh, Vol. 1",2010-04-13,single
ALB767259,TUTTA VITA,2024-10-25,album
ALB764320,Sogni d'oro,2017-02-17,album
ALB561034,V.Ita,2009-10-10,album
ALB184946,La bella Italia,2008-04-30,album
ALB242157,Andiamo A Comandare,2016-03-18,single
ALB357200,Immobile,2010-01-01,single
ALB307080,Guilty,2010-01-01,album
ALB830396,Original Flavour,2013-06-03,album
ALB189247,Siamesi Brothers,2006-01-01,album
ALB914307,Tagli,2021-01-21,album
ALB446732,60 Hz,2004-01-07,album
ALB372944,Champagne e spine,2010-01-01,album
ALB107568,Verano Zombie,2007-01-01,album
ALB959786,Hype,2009-06-22,album
ALB863550,La mia città VOL.1,2010-01-01,single
ALB378203,Escape (2022 Remaster),1981-07-17,album
ALB957463,Supercalifragilistichespiralidoso,2023-06-09,single
ALB666591,Il mago,2017-12-08,single
ALB775590,Michel,2017-05-24,album
ALB957899,AMEMÌ (New Edit),2018-05-11,single
ALB275787,Miguel,2020-11-06,album
ALB123095,Erbavoglio,2012-01-01,single
ALB809676,Doner Bombers Compilation - Vol. 3,2015-04-08,compilation
ALB736984,M,2014-03-05,single
ALB892021,AH,2023-03-17,single
ALB509851,Beats From The Lido,2018-08-17,compilation
ALB171163,Karate,2023-06-09,single
ALB352099,Dinamite,2023-10-27,single
ALB327559,Paura,2023-07-07,single
ALB503511,Sparirò,2023-04-07,single
ALB704297,Mon Ami•e,2023-09-08,single
ALB338498,Mandibola,2023-05-12,single
ALB881975,Macho,2023-12-01,single
ALB655628,Lararì,2024-02-23,single
ALB836231,Brucia,2023-08-04,single
ALB990476,Lev 26:6-8,2024-08-16,single
ALB408671,Attimo,2024-04-19,single
ALB595597,Banana,2024-06-14,single
ALB983695,Sir Cavalier,2024-10-25,single
ALB158770,Tutti Frutty,2018-10-24,single
ALB826825,rosa naturale (feat. Emis Killa),2020-01-10,single
ALB923376,MAMA,2019-08-30,single
ALB623485,"Ti amo, ti odio (feat. Guè & Mecna)",2021-05-11,single
ALB568456,What U Do to Me,2016-12-09,single
ALB309581,00:23,2020-10-06,single
ALB691040,Drink,2018-04-13,single
ALB636779,Body Adi,2017-06-09,single
ALB575673,7 giorni,2020-11-11,single
ALB177656,Caffè e Lacrime,2023-07-20,single
ALB723936,SENTIMENTAL SEASON,2021-12-03,single
ALB709852,Nella tana del mostro,2023-03-09,single
ALB481755,Melancholia,2023-05-26,single
ALB234424,20,2018-04-20,album
ALB732057,Allenamento #2,2017-03-13,single
ALB811178,Nisida,2016-09-13,single
ALB135067,Allenamento #3,2017-03-13,single
ALB481426,PLAZA,2021-01-22,album
ALB525402,Allenamento #1,2017-03-13,single
ALB742585,20 (Deluxe Edition),2018-11-30,album
ALB558800,Non si ferma,2016-11-24,single
ALB573950,Going Hard 3,2024-12-06,album
ALB917359,FERITE,2024-05-03,album
ALB269919,So cosa fare,2019-06-20,single
ALB333554,Mattoni,2019-09-12,album
ALB968231,Lo Mejor De...,2015-01-27,compilation
ALB360205,Sto giù,2013-02-26,single
ALB530712,FERITE (Deluxe Edition),2024-11-15,album
ALB652187,Daccapo,2013-10-29,album
ALB962249,Slime Language 2 (Deluxe),2021-04-16,album
ALB642065,Hustle Mixtape,2022-06-03,album
ALB882800,LA BELLAVITA,2025-03-28,album
ALB963203,Sulamente nuje,2016-06-10,album
ALB687092,Ho Fatto Strada,2019-11-22,single
ALB217409,"Players Club '23 (Knights of the Posse) (feat. Nerissima Serpe, Artie 5ive, Tony Boy, Papa V, Low Red, Digital Astro & Kid Yugi)",2023-04-20,single
ALB265223,PLAZA (Deluxe Edition),2021-06-18,album
ALB268624,Non Basta Mai (feat. Bresh & Tony Effe),2025-06-13,single
ALB116622,Freddy Krueger Freestyle,2023-09-29,single
ALB169428,Giro con i miei (Prod. Mazh),2014-02-14,single
ALB565861,Tutti i giorni,2014-05-22,single
ALB811166,Nove Chiamate,2023-01-13,album
ALB726753,"Bad Boy (feat. Shiva, Capo Plaza)",2024-07-19,single
ALB945924,EDEN,2022-08-04,album
ALB263634,Quisqueyano 4,2018-05-24,single
ALB799480,TUTTA VITA,2024-10-25,album
ALB497081,ZEIT UND GELD,2021-03-09,single
ALB909560,Milano,2024-10-11,single
ALB594711,Scialla Semper,2019-04-12,album
ALB878293,SOLO TUTTO,2021-03-26,album
ALB409177,Scialla Semper (Emodrill Repack),2019-09-27,album
ALB624299,Le cose cambiano,2023-12-01,album
ALB955952,Madreperla,2023-01-13,album
ALB784828,Criminali (feat. Crookers & Nic Sarno),2019-10-22,single
ALB703373,Tutti i Nomi del Diavolo,2024-11-01,album
ALB809652,Sarabamba (feat. Guè),2022-07-22,single
ALB787090,Ivan Zucco (Red Bull 64 Bars),2024-09-06,single
ALB841240,Le cose cambiano (Deluxe),2024-11-29,album
ALB860617,Deriva,2025-05-16,album
ALB770914,Due lettere dopo,2025-03-28,album
ALB913654,Straniero RMX (feat. Tedua & Neima Ezza),2024-04-26,single
ALB396661,S.Q.Q.,2021-12-28,single
ALB968854,Red Bull Paga (Red Bull 64 Bars),2024-06-28,single
ALB436496,Full Calisthenics,2024-05-02,single
ALB445185,MACHETE MIXTAPE 4,2019-07-05,album
ALB879841,Yolandi,2022-05-20,single
ALB381573,Eres mía (Remix),2016-06-03,single
ALB515407,Santeria (Voodoo Edition),2016-12-02,album
ALB360526,Allindennoman (alter ego),2021-10-15,album
ALB733974,Rockstar,2018-01-19,album
ALB498544,Benjamin,2019-06-03,album
ALB765227,SANTANA MONEY GANG,2025-04-10,album
ALB840783,WE THE SQUAD Vol. 1 (SUMMER EDITION),2022-07-22,album
ALB287928,Le pagine della nostra vita,2019-10-11,single
ALB732032,Non so chi ha creato il mondo ma so che era innamorato (Deluxe),2025-05-30,album
ALB117422,Santana Season,2023-06-09,album
ALB913462,King del trash,2018-09-21,single
ALB808720,Botox,2022-10-04,album
ALB996150,OPS!,2018-09-25,single
ALB498675,TUTTA VITA,2024-10-25,album
ALB780722,Storia della RAPubblica,2022-04-22,single
ALB299947,African,2019-02-20,single
ALB300719,Piano B,2020-01-10,album
ALB249230,Killer,2018-12-21,single
ALB898042,Raptus 3,2019-03-15,album
ALB444608,Sfera Ebbasta,2016-09-09,album
ALB684721,a me mi piace (feat. Manu Chao),2025-05-09,single
ALB153551,"Gira, il mondo gira",2023-02-10,album
ALB668276,Last Chair Violinist,2008-11-11,album
ALB201525,Alice,2021-04-09,album
ALB581203,SKIFIDOL BIMBO (RMX),2024-03-22,single
ALB400520,fuorilegge,2025-02-12,single
ALB798674,Non so chi ha creato il mondo ma so che era innamorato,2024-02-16,album
ALB464908,Respirare,2020-05-08,single
ALB368612,New Boots and Panties!!,1977-09-30,album
ALB105429,Nella fossa,2014-04-03,single
ALB572442,Silent Hill,2021-06-11,single
ALB156429,Ma Vaffanculo,2020-07-17,single
ALB532696,Miele,2022-11-04,single
ALB867288,Parlerò di te (Unplugged),2020-03-27,single
ALB314143,Dur Daha Yeni Başladık,2011-08-30,album
ALB914777,Galassie,2024-01-12,album
ALB418896,SARAH,2025-02-21,single
ALB246929,Ti ho sognata tutta la notte,2021-07-28,single
ALB515000,Simona,2022-07-01,single
ALB699649,Je T’Amo Ancora,2024-04-03,single
ALB366179,Dove c'è l'arcobaleno,2024-09-13,album
ALB882588,Wojtape,2013-04-15,album
ALB976154,INDI,2025-01-24,album
ALB908671,Sumeria,2012-10-15,album
ALB340438,TUTA GOLD,2024-02-07,single
ALB669822,Gioventù Bruciata,2019-02-22,album
ALB571007,Barrio,2019-08-30,single
ALB916509,Brividi,2022-02-02,single
ALB535807,Ghettolimpo,2021-06-10,album
ALB970322,Moonlight Popolare (feat. Massimo Pericolo),2020-05-14,single
ALB762828,Inuyasha,2021-02-02,single
ALB140195,NEI LETTI DEGLI ALTRI,2024-03-07,album
ALB979271,COCKTAIL D'AMORE,2023-11-02,single
ALB794618,SOTTOMARINI,2025-02-20,single
ALB235878,Dove Volano Le Aquile,2022-04-01,album
ALB537891,Dimentica,2016-01-22,single
ALB988613,Pesos,2017-07-14,single
ALB789645,La Sirenetta (Colonna Sonora Originale),2023-05-19,album
ALB685713,Redemption Song,2020-04-07,single
ALB426686,Note Di Viaggio - Capitolo 2: Non Vi Succederà Niente,2020-10-09,compilation
ALB877627,El Chema V2 (Trafico De Humanos),2021-03-06,single
ALB921657,V,2021-09-16,album
ALB394662,Rapide (Acoustic),2020-04-12,single
ALB853956,RE.,2022-06-15,album
ALB242768,7 vizi Capitale,2017-10-06,single
ALB735302,Comunque vada sarà un successo (Nuova Edizione '99),1999-01-01,album
ALB676289,Suburra (final season) (Original soundtrack),2020-10-30,album
ALB643051,La grande onda,2002-06-20,album
ALB678525,Odio Gli Indifferenti,2012-04-10,album
ALB354874,Multi Culti,2007-01-26,album
ALB802119,Interno 7,2018-09-28,album
ALB960268,Incompatibile 2 (Grande Prova!),2004-01-01,album
ALB646383,Democrazia del microfono,2000-01-01,album
ALB257981,La forza che scorre,2016-12-02,single
ALB996374,'na notte infame,2024-03-01,album
ALB626867,Il mio lato peggiore,2025-05-16,album
ALB861574,La scuola romana (Original Motion Picture Soundtrack),2025-04-04,album
ALB933289,Nemici,2015-04-14,album
ALB568935,La valigia (Remix),1998-01-01,single
ALB121135,Euro contanti,2001-01-01,single
ALB681595,Tommaso,2004-01-01,album
ALB138915,"Tutto mio (Dal Musical ""Spray Street"")",2021-09-28,single
ALB205873,Fumo bianco,2018-06-08,single
ALB642698,Bitch 2.0,2018-07-20,single
ALB982260,Dale,2018-04-20,single
ALB349074,Sister (Pastiglie),2018-10-05,single
ALB751818,3G (feat. Jake La Furia),2018-12-12,single
ALB252700,Bella così (feat. Federica Carta),2020-05-22,single
ALB973255,Avere 20 anni,2019-01-11,single
ALB463707,Mangiauomini,2019-10-04,single
ALB764293,Coca Cola,2019-06-21,single
ALB129409,Nel Prime,2025-05-16,single
ALB231009,La voce di Chadia,2020-01-31,single
ALB145781,Bitch 3.0,2022-12-23,single
ALB154402,Le regole della bitch,2024-04-19,single
ALB936462,Donne che odiano le donne,2021-02-05,single
ALB969563,Non mi uccidere - feat. Alice Pagani,2021-04-16,single
ALB812446,Criminale,2023-03-31,single
ALB136775,Figli del deserto,2023-12-15,single
ALB889420,Tutt* stran*,2021-12-10,single
ALB732851,Griselda,2025-04-04,single
ALB164195,RESPETO,2014-12-02,album
ALB822174,Bondage - la gola,2024-01-26,single
ALB831904,Filo spinato - la superbia,2024-03-08,single
ALB887316,Sugar Daddy,2024-07-12,single
ALB229268,High Class,2020-02-14,single
ALB638238,Osama 2,2024-09-27,album
ALB126183,Vulcano,2017-03-24,album
ALB374807,Tarantelle,2019-05-03,album
ALB254218,SANTANA MONEY GANG,2025-04-10,album
ALB535171,Non E' Gratis,2012-01-01,album
ALB190896,Come Fa?,2019-12-03,single
ALB582596,Miracolo!,2015-04-28,album
ALB896931,Guardando la luna (Napoli RMX),2023-05-11,single
ALB516134,Miracolo! (Ultimo Round),2016-02-19,album
ALB228405,Mea Culpa (Gold Edition),2014-01-01,album
ALB192916,I.E.N.A.,2011-12-19,album
