album_id,title,release_date,album_type
AL000115,CON I MIEI OCCHI,2024-10-25,album
AL000116,Arte,2019-09-11,album
AL000117,Ordinary,2025-02-07,single
AL000118,STRONZA SENTIMENTALE,2025-04-04,single
AL000119,After Hours,2020-03-20,album
AL000120,FEDE,2023-04-28,album
AL000121,Milano Angels,2024-09-06,album
AL000122,Gravity,2024-05-27,single
AL000123,Magica Europa,2003-07-30,single
AL000124,Summer Vacation 2025,2025-06-11,compilation
AL000125,Lettera Q,2024-11-22,album
AL000126,Madreperla,2023-01-13,album
AL000127,In the Ley Lines,2013,album
AL000128,The Among Us Song,2022-11-24,single
AL000129,Gucci rubate,2018-06-22,single
AL000130,The Interview,2010-08-23,single
AL000131,Swaggavamo a scuola thasup,2022-05-23,single
AL000132,Containers,2024-10-10,album
AL000133,Gauč Storytelling,2019-05-24,album
AL000134,Che Gusto C'è (feat. Tredici Pietro),2025-05-23,single
AL000135,OBE,2021-06-17,album
AL000136,Troppo tardi.,2023-11-21,single
AL000137,HOTEL MONTANA,2023-09-01,album
AL000138,Ma Xkè A Me?,2023-07-28,single
AL000139,Sincer (feat. Lele Blade & Icy Subzero),2023-05-05,single
AL000140,HOTEL MONTANA (Deluxe),2024-07-05,album
AL000141,Marijuana (feat. Rhove),2024-06-21,single
AL000142,AMBIZIONE,2022-05-27,album
AL000143,LOCURA,2024-11-26,album
AL000144,Re Mida,2019-03-01,album
AL000145,LOCURA (Jam),2025-06-04,album
AL000146,Zzala,2017-04-14,album
AL000147,J,2020-07-16,album
AL000148,Re Mida (Aurum),2019-10-03,album
AL000149,LOCURA (Opera),2025-06-05,album
AL000150,Diablo,2017-10-20,single
AL000151,1/6 - EP,2020-06-19,single
AL000152,Lario (feat. Fabri Fibra) [RMX],2018-03-21,single
AL000153,Re Mida (Piano Solo),2019-10-01,album
AL000154,ZONDA,2023-03-30,single
AL000155,SIRIO (Concertos),2022-12-15,album
AL000156,Fuego,2017-02-13,single
AL000157,Tu Me Quieres,2024-09-13,single
AL000158,I.B.F.M.,2017-09-05,single
AL000159,Santeria,2016-06-24,album
AL000160,Wall Street Freestyle,2017-02-13,single
AL000161,"Dal '700 al '900 napoletano, Vol. 1 (I edizione)",2017-09-27,single
AL000162,"Real Talk Cypher, Vol. 1 (Mixed)",2019-09-06,album
AL000163,Super Santos Freestyle,2017-02-13,single
AL000164,BLOCCO 181 – ORIGINAL SOUNDTRACK,2022-05-27,album
AL000165,RANCH,2025-05-09,album
AL000166,Tarantelle,2019-05-03,album
AL000167,Canzoni Al Piano (Primavera 2023) – Relax Con I Più Grandi Successi,2023-03-13,album
AL000168,Wish You Were Here,1975-09-12,album
AL000169,att.,2024-04-05,album
AL000170,The North Wild Spirit,2024-06-01,album
AL000171,"Verdi: Rigoletto (Callas, Di Stefano, Gobbi / La Scala) (1955)",1955,album
AL000172,Tempo,2014-12-05,album
AL000173,Rockstar,2018-01-19,album
AL000174,Guitarra,2020-12-06,single
AL000175,TRAPLINE,2019-05-10,album
AL000176,O Futebol,2004-01-08,album
AL000177,50 Greatest Tracks,2015-11-06,album
AL000178,22 Freestyle,2017-08-06,single
AL000179,DRIFT Series 1,2020-09-18,album
AL000180,Musica per bambini,2018-06-01,album
AL000181,BODR,2022-02-11,album
AL000182,May Day,2013-06-10,single
AL000183,Shake It To The Max (FLY) (Remix),2025-02-21,single
AL000184,Long Lost Archives of Lazzayaiii Pt. 1,2020-11-07,album
AL000185,Shenandoah National Park – Nature Music,2025-06-18,compilation
AL000186,Lazzaro EP,2023-06-29,single
AL000187,Il meglio di un concerto,2013-03-13,album
AL000188,Revolverlution,2002-07-23,album
AL000189,Cinematic Atmosphere,2021-07-30,compilation
AL000190,The Mediterranean Gardener,2021-08-27,album
AL000191,OGGI,2020-10-23,single
AL000192,Deja Vu,2025-01-27,album
AL000193,Mozart: Le Nozze di Figaro,2015-09-01,album
AL000194,Gemini,2022-06-24,single
AL000195,Complesso Carlo Esposito,2023-01-28,single
AL000196,Hybrid Theory (Bonus Edition),2000-10-24,album
AL000197,NOSTALGIA (export),2024-02-23,album
AL000198,Silenced by you,2021-11-08,single
AL000199,Come Close to Me,2019-11-08,single
AL000200,African,2019-02-20,single
AL000201,Max,2017-05-19,album
AL000202,GEMINI,2019-06-14,album
AL000203,MAXTAPE,2021-05-12,album
AL000204,Entertainer,2018-05-25,album
AL000205,Numero zero ep,2014-11-28,single
AL000206,Hyper,2017-03-16,single
AL000207,BRAVA GENTE,2023-06-02,album
AL000208,Hyper 2,2018-04-27,album
AL000209,Hyp3r,2019-02-08,album
AL000210,N Mixtape,2016-02-22,album
AL000211,PENKILLER,2025-05-23,album
AL000212,DM,2020-04-29,single
AL000213,100K,2015-01-27,single
AL000214,BDM Mixtape Vol. 1,2024-04-19,album
AL000215,BRAVA GENTE - EXTRA,2024-06-14,album
AL000216,DNA,2020-11-13,album
AL000217,B.U.F.,2022-06-30,single
AL000218,Qualcosa di nuovo,2020-10-30,album
AL000219,Mustafà,2016-08-30,single
AL000220,Las Vegas Freestyle,2025-04-18,single
AL000221,HIT ME HARD AND SOFT,2024-05-17,album
AL000222,Cabaret: First Complete Recording [Complete Recording of the Score (Original Studio Cast)],1999-02-09,album
AL000223,Kepler,2014-05-27,album
AL000224,Handel: Agrippina,2011-10-04,album
AL000225,Freestyle Élite,2022-06-24,album
AL000226,After,2025-04-11,single
AL000227,Monteverdi: L'incoronazione di Poppea (Live),2019-08-30,album
AL000228,MBAPPÉ,2025-03-14,single
AL000229,Lotus,2025-06-06,album
AL000230,"Pizza Con Piña, El Musical",2017-10-06,single
AL000231,Raggasonico,2010-10-12,album
AL000232,Come un uragano (2022 Remaster),2006-06-28,album
AL000233,Lei,2019-08-09,single
AL000234,Prima di Partire,2004-01-01,album
AL000235,Soul Food,2018-08-17,album
AL000236,Dinamite (2022 Remaster),2008-04-15,album
AL000237,420 Mix,2011-04-20,compilation
AL000238,Glielo Leggi In Faccia,2020-08-15,single
AL000239,La nuova era,2012-06-19,album
AL000240,Vibrazioni Positive,2015-09-25,album
AL000241,Hurry Up Tomorrow,2025-01-31,album
AL000242,MP5 Riddim,2014-04-29,compilation
AL000243,"La gatta (feat. Vacca, Primo, Ntò, Amir, Bassi Maestro & Mondo Marcio) [Remix]",2012-06-19,single
AL000244,DE PUTA MADRE 3,2024-10-11,single
AL000245,È LA (LOVE),2024-05-17,single
AL000246,TEKKEN (feat. Simba La Rue),2024-02-23,single
AL000247,WAO,2023-04-21,single
AL000248,YAMAMAY,2023-02-09,single
AL000249,È (BANGER),2024-04-19,single
AL000250,BLA,2023-07-14,single
AL000251,È LA VIBE (VIBE),2024-07-05,single
AL000252,COLPA MIA,2025-01-24,single
AL000253,SPOILER 2 (feat. 22simba),2025-03-07,single
AL000254,PSYDUCK,2025-05-02,single
AL000255,WARANZA,2024-01-25,single
AL000256,FASHION,2023-11-10,single
AL000257,Bahoa,2022-02-16,single
AL000258,Sem Boné (Remix),2022-05-05,single
AL000259,Wawa,2022-06-17,single
AL000260,Alaska,2022-10-07,single
AL000261,Trust No One,2021-12-15,single
AL000262,My Baby,2022-04-08,single
AL000263,Gentleman,2017-06-30,album
AL000264,Mr. Fini,2020-11-26,album
AL000265,Bravo Ragazzo (Royal Edition),2013-01-01,album
AL000266,Fastlife 4,2021-04-08,album
AL000267,Vero,2015-06-23,album
AL000268,Sinatra,2018-11-29,album
AL000269,Il Ragazzo D'Oro,2011-01-01,album
AL000270,GVESVS,2021-12-10,album
AL000271,Vero +,2015-11-27,album
AL000272,Gentleman (The Complete Playlist),2017-09-22,album
AL000273,Tropico Del Capricorno,2025-01-10,album
AL000274,Gelida Estate EP,2019-06-21,single
AL000275,KG,2025-05-29,album
AL000276,SARAGO (Red Bull 64 Bars),2024-09-13,single
AL000277,Mattoni,2019-09-12,album
AL000278,Lungomare Latino (feat. Willy William),2018-06-01,single
AL000279,Come Se Fosse Normale,2018-04-06,single
AL000280,Guersace (RMX) feat. Enzo Dong,2018-02-16,single
AL000281,"Hashishinz Sound, Vol. 1",2014-11-24,single
AL000282,Il Ragazzo D'Oro - 10 Anni Dopo,2021-03-25,album
AL000283,Bravo Ragazzo Live,2014-01-01,album
AL000284,Vero (Royal Edition),2015-11-27,album
AL000285,La città del sole 2 (Il peggio di Cagliari),2012-12-01,album
AL000286,"The Newkingztape, Vol. 1",2017-11-17,album
AL000287,Lamborghini (German RMX) feat. Kurdo & Majoe,2017-12-15,single
AL000288,Hashishinz Sound Vol.1,2008-02-11,single
AL000289,THE BIGGEST SBLAO,2024-09-12,album
AL000290,Who's Next Hip Hop Underground 2014,2015-02-17,compilation
AL000291,HELL NAHH,2025-06-05,single
AL000292,Day Of The Dog,2006-03-04,album
AL000293,Vasco Rossi,2017-12-15,single
AL000294,En el Foco,2021-10-28,single
AL000295,Dogo Gang Presenta: Benvenuti Nella Giungla,2008-03-28,compilation
AL000296,Lamborghini (Swiss RMX) feat. Pronto,2018-02-23,single
AL000297,Milano Spara,2007-11-02,album
AL000298,"Solo lei ha quel che voglio 2021 (feat. Tiziano Ferro, Guè & Marracash)",2021-05-27,single
AL000299,Urania Deluxe: Atto Finale,2021-10-29,album
AL000300,DJUNGLE,2021-05-07,album
AL000301,Dogocrazia,2009-01-01,album
AL000302,Thori & Rocce,2011-01-01,album
AL000303,Marracash,2008-01-01,album
AL000304,L'ultimo disco (Parte 1),2022-10-21,album
AL000305,Col Sangue,2016-09-23,album
AL000306,In mezzo al traffico,2024-05-09,compilation
AL000307,Hagakure,2008-08-18,compilation
AL000308,"Rap Roba Fresh, Vol. 1",2010-04-13,single
AL000309,TUTTA VITA,2024-10-25,album
AL000310,Sogni d'oro,2017-02-17,album
AL000311,V.Ita,2009-10-10,album
AL000312,La bella Italia,2008-04-30,album
AL000313,Andiamo A Comandare,2016-03-18,single
AL000314,Immobile,2010,single
AL000315,Guilty,2010-01-01,album
AL000316,Original Flavour,2013-06-03,album
AL000317,Siamesi Brothers,2006-01-01,album
AL000318,Tagli,2021-01-21,album
AL000319,60 Hz,2004-01-07,album
AL000320,Champagne e spine,2010,album
AL000321,Verano Zombie,2007-01-01,album
AL000322,Hype,2009-06-22,album
AL000323,La mia città VOL.1,2010-01-01,single
AL000324,Escape (2022 Remaster),1981-07-17,album
AL000325,Supercalifragilistichespiralidoso,2023-06-09,single
AL000326,Il mago,2017-12-08,single
AL000327,Michel,2017-05-24,album
AL000328,AMEMÌ (New Edit),2018-05-11,single
AL000329,Miguel,2020-11-06,album
AL000330,Erbavoglio,2012-01-01,single
AL000331,Doner Bombers Compilation - Vol. 3,2015-04-08,compilation
AL000332,M,2014-03-05,single
AL000333,AH,2023-03-17,single
AL000334,Beats From The Lido,2018-08-17,compilation
AL000335,Karate,2023-06-09,single
AL000336,Dinamite,2023-10-27,single
AL000337,Paura,2023-07-07,single
AL000338,Sparirò,2023-04-07,single
AL000339,Mon Ami•e,2023-09-08,single
AL000340,Mandibola,2023-05-12,single
AL000341,Macho,2023-12-01,single
AL000342,Lararì,2024-02-23,single
AL000343,Brucia,2023-08-04,single
AL000344,Lev 26:6-8,2024-08-16,single
AL000345,Attimo,2024-04-19,single
AL000346,Banana,2024-06-14,single
AL000347,Sir Cavalier,2024-10-25,single
AL000348,Tutti Frutty,2018-10-24,single
AL000349,rosa naturale (feat. Emis Killa),2020-01-10,single
AL000350,MAMA,2019-08-30,single
AL000351,"Ti amo, ti odio (feat. Guè & Mecna)",2021-05-11,single
AL000352,What U Do to Me,2016-12-09,single
AL000353,00:23,2020-10-06,single
AL000354,Drink,2018-04-13,single
AL000355,Body Adi,2017-06-09,single
AL000356,7 giorni,2020-11-11,single
AL000357,Caffè e Lacrime,2023-07-20,single
AL000358,SENTIMENTAL SEASON,2021-12-03,single
AL000359,Nella tana del mostro,2023-03-09,single
AL000360,Melancholia,2023-05-26,single
AL000361,20,2018-04-20,album
AL000362,Allenamento #2,2017-03-13,single
AL000363,Nisida,2016-09-13,single
AL000364,Allenamento #3,2017-03-13,single
AL000365,PLAZA,2021-01-22,album
AL000366,Allenamento #1,2017-03-13,single
AL000367,20 (Deluxe Edition),2018-11-30,album
AL000368,Non si ferma,2016-11-24,single
AL000369,Going Hard 3,2024-12-06,album
AL000370,FERITE,2024-05-03,album
AL000371,So cosa fare,2019-06-20,single
AL000372,Lo Mejor De...,2015-01-27,compilation
AL000373,Sto giù,2013-02-26,single
AL000374,FERITE (Deluxe Edition),2024-11-15,album
AL000375,Daccapo,2013-10-29,album
AL000376,Slime Language 2 (Deluxe),2021-04-16,album
AL000377,Hustle Mixtape,2022-06-03,album
AL000378,Sulamente nuje,2016-06-10,album
AL000379,Ho Fatto Strada,2019-11-22,single
AL000380,"Players Club '23 (Knights of the Posse) (feat. Nerissima Serpe, Artie 5ive, Tony Boy, Papa V, Low Red, Digital Astro & Kid Yugi)",2023-04-20,single
AL000381,PLAZA (Deluxe Edition),2021-06-18,album
AL000382,Non Basta Mai (feat. Bresh & Tony Effe),2025-06-13,single
AL000383,Freddy Krueger Freestyle,2023-09-29,single
AL000384,Giro con i miei (Prod. Mazh),2014-02-14,single
AL000385,Tutti i giorni,2014-05-22,single
AL000386,Nove Chiamate,2023-01-13,album
AL000387,"Bad Boy (feat. Shiva, Capo Plaza)",2024-07-19,single
AL000388,EDEN,2022-08-04,album
AL000389,Quisqueyano 4,2018-05-24,single
AL000390,ZEIT UND GELD,2021-03-09,single
AL000391,Milano,2024-10-11,single
AL000392,Scialla Semper,2019-04-12,album
AL000393,SOLO TUTTO,2021-03-26,album
AL000394,Scialla Semper (Emodrill Repack),2019-09-27,album
AL000395,Le cose cambiano,2023-12-01,album
AL000396,Criminali (feat. Crookers & Nic Sarno),2019-10-22,single
AL000397,Tutti i Nomi del Diavolo,2024-11-01,album
AL000398,Sarabamba (feat. Guè),2022-07-22,single
AL000399,Ivan Zucco (Red Bull 64 Bars),2024-09-06,single
AL000400,Le cose cambiano (Deluxe),2024-11-29,album
AL000401,Deriva,2025-05-16,album
AL000402,Due lettere dopo,2025-03-28,album
AL000403,Straniero RMX (feat. Tedua & Neima Ezza),2024-04-26,single
AL000404,S.Q.Q.,2021-12-28,single
AL000405,Red Bull Paga (Red Bull 64 Bars),2024-06-28,single
AL000406,Full Calisthenics,2024-05-02,single
AL000407,MACHETE MIXTAPE 4,2019-07-05,album
AL000408,Yolandi,2022-05-20,single
AL000409,Eres mía (Remix),2016-06-03,single
AL000410,Santeria (Voodoo Edition),2016-12-02,album
AL000411,Allindennoman (alter ego),2021-10-15,album
AL000412,Benjamin,2019-06-03,album
AL000413,WE THE SQUAD Vol. 1 (SUMMER EDITION),2022-07-22,album
AL000414,Le pagine della nostra vita,2019-10-11,single
AL000415,Santana Season,2023-06-09,album
AL000416,King del trash,2018-09-21,single
AL000417,Botox,2022-10-04,album
AL000418,OPS!,2018-09-25,single
AL000419,Storia della RAPubblica,2022-04-22,single
AL000420,Piano B,2020-01-10,album
AL000421,Killer,2018-12-21,single
AL000422,Raptus 3,2019-03-15,album
AL000423,Sfera Ebbasta,2016-09-09,album
AL000424,"Gira, il mondo gira",2023-02-10,album
AL000425,Last Chair Violinist,2008-11-11,album
AL000426,Alice,2021-04-09,album
AL000427,SKIFIDOL BIMBO (RMX),2024-03-22,single
AL000428,fuorilegge,2025-02-12,single
AL000429,Respirare,2020-05-08,single
AL000430,New Boots and Panties!!,1977-09-30,album
AL000431,Nella fossa,2014-04-03,single
AL000432,Silent Hill,2021-06-11,single
AL000433,Ma Vaffanculo,2020-07-17,single
AL000434,Miele,2022-11-04,single
AL000435,Parlerò di te (Unplugged),2020-03-27,single
AL000436,Dur Daha Yeni Başladık,2011-08-30,album
AL000437,Galassie,2024-01-12,album
AL000438,SARAH,2025-02-21,single
AL000439,Ti ho sognata tutta la notte,2021-07-28,single
AL000440,Simona,2022-07-01,single
AL000441,Je T’Amo Ancora,2024-04-03,single
AL000442,Dove c'è l'arcobaleno,2024-09-13,album
AL000443,Wojtape,2013-04-15,album
AL000444,INDI,2025-01-24,album
AL000445,Sumeria,2012-10-15,album
AL000446,TUTA GOLD,2024-02-07,single
AL000447,Gioventù Bruciata,2019-02-22,album
AL000448,Barrio,2019-08-30,single
AL000449,Brividi,2022-02-02,single
AL000450,Ghettolimpo,2021-06-10,album
AL000451,Moonlight Popolare (feat. Massimo Pericolo),2020-05-14,single
AL000452,Inuyasha,2021-02-02,single
AL000453,NEI LETTI DEGLI ALTRI,2024-03-07,album
AL000454,COCKTAIL D'AMORE,2023-11-02,single
AL000455,SOTTOMARINI,2025-02-20,single
AL000456,Dove Volano Le Aquile,2022-04-01,album
AL000457,Dimentica,2016-01-22,single
AL000458,Pesos,2017-07-14,single
AL000459,La Sirenetta (Colonna Sonora Originale),2023-05-19,album
AL000460,Redemption Song,2020-04-07,single
AL000461,Note Di Viaggio - Capitolo 2: Non Vi Succederà Niente,2020-10-09,compilation
AL000462,El Chema V2 (Trafico De Humanos),2021-03-06,single
AL000463,V,2021-09-16,album
AL000464,Rapide (Acoustic),2020-04-12,single
AL000465,RE.,2022-06-15,album
AL000466,7 vizi Capitale,2017-10-06,single
AL000467,Comunque vada sarà un successo (Nuova Edizione '99),1999-01-01,album
AL000468,Suburra (final season) (Original soundtrack),2020-10-30,album
AL000469,La grande onda,2002-06-20,album
AL000470,Odio Gli Indifferenti,2012-04-10,album
AL000471,Multi Culti,2007-01-26,album
AL000472,Interno 7,2018-09-28,album
AL000473,Incompatibile 2 (Grande Prova!),2004,album
AL000474,Democrazia del microfono,2000,album
AL000475,La forza che scorre,2016-12-02,single
AL000476,'na notte infame,2024-03-01,album
AL000477,Il mio lato peggiore,2025-05-16,album
AL000478,La scuola romana (Original Motion Picture Soundtrack),2025-04-04,album
AL000479,Nemici,2015-04-14,album
AL000480,La valigia (Remix),1998,single
AL000481,Euro contanti,2001,single
AL000482,Tommaso,2004,album
AL000483,"Tutto mio (Dal Musical ""Spray Street"")",2021-09-28,single
AL000484,Fumo bianco,2018-06-08,single
AL000485,Bitch 2.0,2018-07-20,single
AL000486,Dale,2018-04-20,single
AL000487,Sister (Pastiglie),2018-10-05,single
AL000488,3G (feat. Jake La Furia),2018-12-12,single
AL000489,Bella così (feat. Federica Carta),2020-05-22,single
AL000490,Avere 20 anni,2019-01-11,single
AL000491,Mangiauomini,2019-10-04,single
AL000492,Coca Cola,2019-06-21,single
AL000493,Nel Prime,2025-05-16,single
AL000494,La voce di Chadia,2020-01-31,single
AL000495,Bitch 3.0,2022-12-23,single
AL000496,Le regole della bitch,2024-04-19,single
AL000497,Donne che odiano le donne,2021-02-05,single
AL000498,Non mi uccidere - feat. Alice Pagani,2021-04-16,single
AL000499,Criminale,2023-03-31,single
AL000500,Figli del deserto,2023-12-15,single
AL000501,Tutt* stran*,2021-12-10,single
AL000502,Griselda,2025-04-04,single
AL000503,RESPETO,2014-12-02,album
AL000504,Bondage - la gola,2024-01-26,single
AL000505,Filo spinato - la superbia,2024-03-08,single
AL000506,Sugar Daddy,2024-07-12,single
AL000507,High Class,2020-02-14,single
AL000508,Osama 2,2024-09-27,album
AL000509,Vulcano,2017-03-24,album
AL000510,Non E' Gratis,2012-01-01,album
AL000511,Come Fa?,2019-12-03,single
AL000512,Miracolo!,2015-04-28,album
AL000513,Guardando la luna (Napoli RMX),2023-05-11,single
AL000514,Miracolo! (Ultimo Round),2016-02-19,album
AL000515,Mea Culpa (Gold Edition),2014-01-01,album
AL000516,I.E.N.A.,2011-12-19,album
AL000517,Black Pulcinella,2022-04-29,album
AL000518,Cattivi guagliuni,2011-11-03,album
AL000519,Napoli Manicomio,2006-08-09,album
AL000520,Partenope,2020-12-21,single
AL000521,Figli E Figliastri,2014-04-15,album
AL000522,Gioco sporco,2019-11-20,album
AL000523,Sorridi e vuoi fumare,2025-03-28,single
AL000524,Señorita,2021-05-21,single
AL000525,2/7 - EP,2020-06-12,single
AL000526,Rido,2018-04-10,single
AL000527,L'uomo che viaggiava nel vento (E altri racconti di brezze e correnti),2016-10-14,album
AL000528,Ella Quiere Beber (Remix),2018-11-02,single
AL000529,Forró no Varandão,2021-07-23,album
AL000530,#Uagliò,2017-06-16,album
AL000531,Banditi,2016-09-30,album
AL000532,Vile Denaro,2007-01-01,album
AL000533,Club Dogo,2024-01-12,album
AL000534,MI Fist (2004 Remaster),2003-01-03,album
AL000535,Che Bello Essere Noi,2010-01-01,album
AL000536,Non Siamo Più Quelli Di Mi Fist,2014-01-01,album
AL000537,Noi Siamo Il Club (Reloaded Edition),2012-01-01,album
AL000538,Penna Capitale,2006-03-15,album
AL000539,Everyday Ting,2018-06-10,single
AL000540,Vile Denaro 10th Anniversary,2007-05-17,album
AL000541,,,
AL000542,MI Fist,2004-04-23,album
AL000543,"Street Collection, Vol. 2 (2008 Remastered)",2019-10-25,compilation
AL000544,La calda notte,2005-08-06,album
AL000545,"Vita Vera - Mixtape, aspettando la Divina Commedia",2020-06-12,album
AL000546,Ciao Fibra,2007-07-27,single
AL000547,Il Cd Della Pina,1995,album
AL000548,Piovono Angeli,1998-01-01,album
AL000549,Cora,2000-01-01,album
AL000550,Questa Fly,2007-01-01,album
AL000551,The Royalty,2008-09-09,album
AL000552,Tribulation,2023-01-17,single
AL000553,Cocco,2019-03-03,single
AL000554,Buio,2020-02-21,single
AL000555,In The Jungle,2019-08-02,single
AL000556,Fenomeno,2017-04-07,album
AL000557,Mr. Simpatia,2004-09-01,album
AL000558,Controcultura,2010-01-01,album
AL000559,Squallor,2015-04-07,album
AL000560,Caos,2022-03-18,album
AL000561,Niente Di Personale,2014-03-26,single
AL000562,Il Tempo Vola 2002-2020,2019-10-24,compilation
AL000563,Turbe Giovanili (20° Anniversario / Versione Originale),2002-02-10,album
AL000564,Guerra E Pace,2013-01-01,album
AL000565,Tradimento (Platinum Edition),2006-12-01,album
AL000566,Turbe Giovanili,2002,album
AL000567,CVDM,2017-11-13,single
AL000568,Bugiardo,2007,album
AL000569,Gemelli,2020-06-18,album
AL000570,In Italia 2024 (feat. Emma & Baby Gang),2024-02-23,single
AL000571,Lo Sto Facendo,2016-09-06,single
AL000572,Tradimento 10 Anni - Reloaded,2016-06-10,album
AL000573,Pizzicato,2017-05-05,album
AL000574,Chi Vuole Essere Fabri Fibra ?,2009-04-10,album
AL000575,Casus Belli,2013-02-05,album
AL000576,Faccio Quello Che Voglio,2007-01-01,album
AL000577,Controcultura (Bonus Track Version),2010-09-07,album
AL000578,Fenomeno (Masterchef EP),2017-11-17,single
